Week,Year,Week_Numer,Gross,Gross_Diff,Pot_Gross,Potential_Gross_Percent,Average_Paid_Ticket,Top_Ticket,Seats_Sold,Total_Seats,Performances,Capacity,Capacity_Diff,Show_Name
1/1/95,1995,1,373299,245403,0,,0,0,7558,0,8,0,0,Passion
1/18/98,1998,3,507418,507418,519254,0.9772,55.14,64.5,9203,9738,6,0.945,0,Patti Labelle On Broadway
12/24/95,1995,52,108875,74779,0,,30.01,60,3628,0,8,0,0,Paul Robeson
7/12/15,2015,28,1075289,1075289,1723280,0.624,114.64,247,10276,13072,8,0.786,0,Penn Teller On Broadway
1/3/88,1988,1,271910,60627,0,,0,0,9345,0,10,0,0,Penn And Teller
1/6/13,2013,1,519744,-248558,899626,0.5777,79.1,198,6571,8304,8,0.791,-0.147,Peter And The Starcatcher
1/3/99,1999,1,788907,788907,778158,1.0138,61.57,75,12814,12760,8,1.004,0,Peter Pan
8/21/94,1994,34,80679,80679,0,,0,0,2766,0,6,0,0,Philadelphiahere I Come
1/6/13,2013,1,184458,29957,682680,0.2702,46.69,127,3951,5920,8,0.667,0.044,Picnic
1/4/15,2015,1,907253,128535,1050536,0.8636,114.89,225,7897,7920,8,0.997,0.167,Pippin
3/9/97,1997,10,151471,151471,0,,21.33,70,7100,8240,8,0.862,0,Play On 
1/1/12,2012,1,817960,817960,1487280,0.55,117.14,225,6983,10792,8,0.647,0,Porgy And Bess
3/2/86,1986,9,51056,51056,0,,0,0,3727,0,8,0,0,Precious Sons
2/18/07,2007,7,88868,88868,195496,0.4546,43.2,86.25,2057,2960,4,0.695,0,Prelude To A Kiss
3/12/17,2017,11,255521,255521,337953,0.7561,99.46,275,2569,2794,2,0.919,0,Present Laughter
7/22/18,2018,29,328854,328854,341332,0.9634,140.78,275,2336,2336,2,1,0,Pretty Womanthe Musical
7/10/05,2005,28,148966,148966,304557,0.4891,53.09,86.25,2806,4100,4,0.684,0,Primo
8/6/17,2017,32,116285,116285,280128,0.4151,66.11,299,1759,1851,3,0.95,0,Prince Of Broadway
1/1/12,2012,1,1005706,1005706,1902915,0.5285,90.19,200,11151,15201,9,0.734,0,Priscilla Queen Of The Desert
1/1/12,2012,1,445166,445166,1140435,0.3903,71.75,175,6204,8901,9,0.697,0,Private Lives
1/2/11,2011,1,1336579,359305,1826920,0.7316,110.65,250,12079,13976,8,0.864,0.141,Promises Promises
1/5/03,2003,1,291473,16532,527931,0.5521,53.5,76,5448,8316,9,0.655,-0.091,Proof
1/4/98,1998,1,155262,-42544,433543,0.3581,45.99,65,3376,9488,8,0.356,-0.078,Proposals
10/13/02,2002,41,255570,255570,487335,0.5244,59.43,76.25,4300,7707,7,0.558,0,Prune Danish
4/18/04,2004,16,9851,9851,260214,0.0379,32.51,76.25,303,4380,4,0.069,0,Prymate
1/2/00,2000,1,237815,12425,521334,0.4562,60.39,85,3938,7672,7,0.513,0.029,Putting It Together
9/23/07,2007,38,141710,141710,269280,0.5263,53.37,95,2655,2960,4,0.897,0,Pygmalion
2/17/02,2002,7,49861,7368,56005,0.8903,47.49,60,1050,1067,1,0.984,0.024,Qed
9/23/84,1984,0,19607,19607,0,,0,0,1336,0,5,0,0,Quilters
1/15/06,2006,3,119574,119574,189810,0.63,48.23,79,2479,2600,4,0.953,0,Rabbit Hole
1/3/10,2010,1,588110,55309,921568,0.6382,92.78,250,6339,8464,8,0.749,0.08,Race
11/12/95,1995,46,113592,113592,0,,0,45,5798,0,8,0,0,Racing Demon
4/22/07,2007,16,62832,62832,225663,0.2784,36.07,201.25,1742,3246,3,0.537,0,Radio Golf
10/5/86,1986,40,23633,23633,0,,0,0,2075,0,4,0,0,Raggedy Ann
8/10/86,1986,32,184516,184516,0,,0,0,8329,0,7,0,0,Rags
1/3/10,2010,1,743751,127448,1083145,0.6867,79.54,300,9351,9933,7,0.941,0.311,Ragtime
1/2/11,2011,1,1404356,697996,1696090,0.828,94.66,190,14836,15928,11,0.931,0.256,Raina Tribute To The Beatles On Broadway
3/15/09,2009,11,38297,38297,223879,0.1711,37,225,1035,2730,3,0.379,0,Reasons To Be Pretty
9/26/04,2004,39,149256,149256,233909,0.6381,49.8,78,2997,3250,5,0.922,0,Reckless
3/14/10,2010,11,117328,117328,340926,0.3441,41.41,225,2833,3216,4,0.881,0,Red
3/21/93,1993,12,45378,45378,0,,0,0,2550,0,3,0,0,Redwood Curtain
1/1/12,2012,1,456036,456036,1087380,0.4194,50.9,225,8959,9684,9,0.925,0,Relatively Speaking
1/6/08,2008,1,343967,-269593,672857,0.5112,58.13,200,5917,8267,7,0.716,-0.11,Rent
3/3/85,1985,9,31968,31968,0,,0,0,2255,0,4,0,0,Requiem For A Heavyweight
2/12/06,2006,7,247258,247258,650673,0.38,49.34,101.25,5011,7406,7,0.677,0,Ring Of Fire
4/4/99,1999,14,12232,12232,43809,0.2792,26.48,55,462,1010,1,0.457,0,Ring Round The Moon
6/10/84,1984,0,266797,266797,0,,0,0,8393,0,8,0,0,Rink
1/7/01,2001,1,569811,-284855,983840,0.5792,50.79,80,11218,15416,8,0.728,-0.167,Riverdance
1/6/08,2008,1,445912,-27293,733475,0.6079,67.09,226.5,6646,8592,8,0.774,0.093,Rock  Nroll
1/4/15,2015,1,583527,39159,630058,0.9261,128.25,223,4550,4664,8,0.976,0.002,Rock Of Ages
3/25/18,2018,12,813589,813589,1500350,0.5423,66.02,247,12323,14040,8,0.878,0,Rocktopia
2/16/14,2014,7,373672,373672,552567,0.6762,95.69,248,3905,4596,3,0.85,0,Rocky
1/1/89,1989,1,86500,43388,0,,0,0,5000,0,8,0,0,Romance Romance
